Name,District,Municipality,Township,Line
Carreco,VIANA DO CASTELO,VIANA DO CASTELO,Carreco,Linha do Minho
Afife,VIANA DO CASTELO,VIANA DO CASTELO,Afife,Linha do Minho
Simoes,COIMBRA,SOURE,Soure,Linha do Norte
Taipa - Requeixo,AVEIRO,AVEIRO,"Requeixo, Nossa Senhora de Fatima e Nariz",Linha do Vouga
Marco de Canaveses,PORTO,MARCO DE CANAVESES,Marco,Linha do Douro
Vila Nova de Ancos,COIMBRA,SOURE,Vila Nova de Ancos,Linha do Norte
Sanfins,AVEIRO,SANTA MARIA DA FEIRA,"Santa Maria da Feira, Travanca, Sanfins e Espargo",Linha do Vouga
Sao Mamede de Infesta,PORTO,MATOSINHOS,Sao Mamede de Infesta e Senhora da Hora,Linha de Leixoes
Ferreiros,BRAGA,BRAGA,Ferreiros e Gondizalves,Ramal de Braga
Contumil,PORTO,PORTO,Campanha,Linha do Minho
Meinedo,PORTO,LOUSADA,Meinedo,Linha do Douro
Rio Tinto,PORTO,GONDOMAR,Rio Tinto,Linha do Minho
Cete,PORTO,PAREDES,Cete,Linha do Douro
Vila Mea,PORTO,AMARANTE,Vila Mea,Linha do Douro
Caxarias,SANTAREM,OUREM,Caxarias,Linha do Norte
Entroncamento,SANTAREM,ENTRONCAMENTO,Nossa Senhora de Fatima,Linha do Norte
Senhora da Agonia,VIANA DO CASTELO,CAMINHA,Caminha (Matriz) e Vilarelho,Linha do Minho
Ermida,PORTO,BAIAO,Santa Marinha do Zezere,Linha do Douro
Mealhada Norte,AVEIRO,MEALHADA,"Mealhada, Ventosa do Bairro e Antes",Linha do Norte
Avanca,AVEIRO,ESTARREJA,Avanca,Linha do Norte
Santana Cartaxo Resguardo,SANTAREM,CARTAXO,Vila Cha de Ourique,Linha do Norte
Braga,BRAGA,BRAGA,"Braga (Maximinos, Se e Cividade)",Ramal de Braga
Cuca,BRAGA,GUIMARAES,Moreira de Conegos,Linha de Guimaraes
Travasso,AVEIRO,AGUEDA,Travasso e Ois da Ribeira,Linha do Vouga
Salreu,AVEIRO,ESTARREJA,Salreu,Linha do Norte
Sao Joao de Ver,AVEIRO,SANTA MARIA DA FEIRA,Sao Joao de Ver,Linha do Vouga
Pelariga,LEIRIA,POMBAL,Pelariga,Linha do Norte
Meia Praia,FARO,LAGOS,Sao Goncalo de Lagos,Linha do Algarve
Castanheira do Ribatejo,LISBOA,VILA FRANCA DE XIRA,Castanheira do Ribatejo e Cachoeiras,Linha do Norte
Granja,PORTO,VILA NOVA DE GAIA,Sao Felix da Marinha,Linha do Norte
Ul,AVEIRO,OLIVEIRA DE AZEMEIS,"O. Azemeis, Riba-Ul, Ul, Macinhata da Seixa, Madail",Linha do Vouga
Monte de Paramos,AVEIRO,ESPINHO,Paramos,Linha do Vouga
Bobadela,LISBOA,LOURES,"Santa Iria de Azoia, Sao Joao da Talha e Bobadela",Linha do Norte
Livracao,PORTO,MARCO DE CANAVESES,Constance,Linha do Douro
Alges,LISBOA,OEIRAS,"Alges, Linda-a-Velha e Cruz Quebrada-Dafundo",Linha de Cascais
Francelos,PORTO,VILA NOVA DE GAIA,Gulpilhares e Valadares,Linha do Norte
Olhao,FARO,OLHAO,Olhao,Linha do Algarve
Tavira,FARO,TAVIRA,Tavira (Santa Maria e Santiago),Linha do Algarve
Oronhe,AVEIRO,AGUEDA,Recardaes e Espinhel,Linha do Vouga
Pacos de Brandao,AVEIRO,SANTA MARIA DA FEIRA,Pacos de Brandao,Linha do Vouga
Pinheiro da Bemposta,AVEIRO,OLIVEIRA DE AZEMEIS,"Pinheiro da Bemposta, Travanca e Palmaz",Linha do Vouga
Setubal-Mar,SETUBAL,SETUBAL,Setubal (Sao Sebastiao),Linha do Sul
Casal do Alvaro,AVEIRO,AGUEDA,Recardaes e Espinhel,Linha do Vouga
Pereira,COIMBRA,MONTEMOR-O-VELHO,Pereira,Linha do Norte
Albergaria-a-Velha,AVEIRO,ALBERGARIA-A-VELHA,Albergaria-a-Velha e Valmaior,Linha do Vouga
Taveiro,COIMBRA,COIMBRA,"Taveiro, Ameal e Arzila",Linha do Norte
Santiago de Riba-Ul,AVEIRO,OLIVEIRA DE AZEMEIS,"O. Azemeis, Riba-Ul, Ul, Macinhata da Seixa, Madail",Linha do Vouga
Espinho,AVEIRO,ESPINHO,Espinho,Linha do Norte
Paraimo,AVEIRO,ANADIA,Sangalhos,Linha do Norte
Carapecos,BRAGA,BARCELOS,Carapecos,Linha do Minho
Recezinhos,PORTO,PENAFIEL,Casteloes,Linha do Douro
Esmeriz,BRAGA,VILA NOVA DE FAMALICAO,Esmeriz e Cabecudos,Linha do Minho
Trancoso,PORTO,PAREDES,Recarei,Linha do Douro
Aveleda,BRAGA,BRAGA,"Celeiros, Aveleda e Vimieiro",Ramal de Braga
Vila Pouca do Campo,COIMBRA,COIMBRA,"Taveiro, Ameal e Arzila",Linha do Norte
Curia,AVEIRO,ANADIA,"Tamengos, Aguim e Ois do Bairro",Linha do Norte
Terronhas,PORTO,PAREDES,Recarei,Linha do Douro
Senhora das Neves,VIANA DO CASTELO,VIANA DO CASTELO,Vila de Punhe,Linha do Minho
Carregado Norte,LISBOA,ALENQUER,Carregado e Cadafais,Linha do Norte
General Torres,PORTO,VILA NOVA DE GAIA,Santa Marinha e Sao Pedro da Afurada,Linha do Norte
Coimbra B,COIMBRA,COIMBRA,Eiras e Sao Paulo de Frades,Linha do Norte
Mazagao,BRAGA,BRAGA,"Celeiros, Aveleda e Vimieiro",Ramal de Braga
Portela,PORTO,TROFA,Covelas,Linha do Minho
Mouquim,BRAGA,VILA NOVA DE FAMALICAO,"Lemenhe, Mouquim e Jesufrei",Linha do Minho
Castelo Novo,CASTELO BRANCO,FUNDAO,Castelo Novo,Linha da Beira Baixa
Giesteira,BRAGA,GUIMARAES,Lordelo,Linha de Guimaraes
Seixas,VIANA DO CASTELO,CAMINHA,Seixas,Linha do Minho
Vermoil,LEIRIA,POMBAL,Santiago e S. Simao de Litem e Albergaria dos Doze,Linha do Norte
Ruilhe,BRAGA,BRAGA,Ruilhe,Ramal de Braga
Mato Miranda,SANTAREM,GOLEGA,Azinhaga,Linha do Norte
Tadim,BRAGA,BRAGA,Tadim,Ramal de Braga
Carvalhal da Portela,AVEIRO,AGUEDA,Valongo do Vouga,Linha do Vouga
Fontela,COIMBRA,FIGUEIRA DA FOZ,Vila Verde,Linha do Oeste
Ferradosa,VISEU,SAO JOAO DA PESQUEIRA,Vale de Figueira,Linha do Douro
Tojeirinha,CASTELO BRANCO,VILA VELHA DE RODAO,Vila Velha de Rodao,Linha da Beira Baixa
Irivo,PORTO,PENAFIEL,Irivo,Linha do Douro
Martinganca,LEIRIA,ALCOBACA,Pataias e Martinganca,Linha do Oeste
Coimbra,COIMBRA,COIMBRA,"Se Nova, Santa Cruz, Almedina e Sao Bartolomeu",Ramal da Lousa
Sao Romao - A,PORTO,TROFA,Coronado (Sao Romao e Sao Mamede),Linha do Minho
Pedra Furada,LISBOA,SINTRA,"Almargem do Bispo, Pero Pinheiro e Montelavar",Linha do Oeste
Gata,GUARDA,GUARDA,Casal de Cinza,Linha da Beira Alta
Curvaceiras,SANTAREM,TOMAR,Madalena e Beselga,Ramal de Tomar
Rede,VILA REAL,MESAO FRIO,Vila Marim,Linha do Douro
Madalena,PORTO,VILA NOVA DE GAIA,Madalena,Linha do Norte
Cortegaca,AVEIRO,OVAR,Cortegaca,Linha do Norte
Pala,PORTO,BAIAO,Ancede e Ribadouro,Linha do Douro
Gondarem,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,Gondarem,Linha do Minho
Santa Iria,LISBOA,LOURES,"Santa Iria de Azoia, Sao Joao da Talha e Bobadela",Linha do Norte
Torres Vedras,LISBOA,TORRES VEDRAS,"Santa Maria, Sao Pedro e Matacaes",Linha do Oeste
Caldas de Moledo,VILA REAL,PESO DA REGUA,Fontelas,Linha do Douro
Mealhada,AVEIRO,MEALHADA,"Mealhada, Ventosa do Bairro e Antes",Linha do Norte
Travanca-Macinhata,AVEIRO,OLIVEIRA DE AZEMEIS,"Pinheiro da Bemposta, Travanca e Palmaz",Linha do Vouga
Pombal Resguardo,LEIRIA,POMBAL,Pombal,Linha do Norte
Soure,COIMBRA,SOURE,Soure,Linha do Norte
Belmonte-Manteigas,CASTELO BRANCO,BELMONTE,Belmonte e Colmeal da Torre,Linha da Beira Baixa
Oliveirinha Cabanas,VISEU,CARREGAL DO SAL,Oliveira do Conde,Linha da Beira Alta
Bagauste,VILA REAL,PESO DA REGUA,Poiares e Canelas,Linha do Douro
Tramagal,SANTAREM,ABRANTES,Tramagal,Linha da Beira Baixa
Fanhais,LEIRIA,NAZARE,Nazare,Linha do Oeste
Vila da Feira,AVEIRO,SANTA MARIA DA FEIRA,"Santa Maria da Feira, Travanca, Sanfins e Espargo",Linha do Vouga
Bencanta,COIMBRA,COIMBRA,Sao Martinho do Bispo e Ribeira de Frades,Linha do Norte
Paramos,AVEIRO,ESPINHO,Paramos,Linha do Norte
Carregal do Sal,VISEU,CARREGAL DO SAL,Carregal do Sal,Linha da Beira Alta
Senhora das Dores,PORTO,TROFA,Bougado (Sao Martinho e Santiago),Linha do Minho
Aguas Santas,PORTO,MAIA,Aguas Santas,Linha do Minho
Sao Gemil,PORTO,MAIA,Aguas Santas,Linha de Leixoes
Monte Redondo,LEIRIA,LEIRIA,Monte Redondo e Carreira,Linha do Oeste
Barroselas,VIANA DO CASTELO,VIANA DO CASTELO,Barroselas e Carvoeiro,Linha do Minho
Belver,PORTALEGRE,GAVIAO,Belver,Linha da Beira Baixa
Faria,AVEIRO,OLIVEIRA DE AZEMEIS,Vila de Cucujaes,Linha do Vouga
Escapaes,AVEIRO,SANTA MARIA DA FEIRA,Escapaes,Linha do Vouga
Aguim,AVEIRO,ANADIA,"Tamengos, Aguim e Ois do Bairro",Linha do Norte
Mosteiro,PORTO,BAIAO,Ancede e Ribadouro,Linha do Douro
Lardosa,CASTELO BRANCO,CASTELO BRANCO,Lardosa,Linha da Beira Baixa
Paul,LEIRIA,BOMBARRAL,Rolica,Linha do Oeste
Dois Portos,LISBOA,TORRES VEDRAS,Dois Portos e Runa,Linha do Oeste
Recarei - Sobreira,PORTO,PAREDES,Sobreira,Linha do Douro
Ademia,COIMBRA,COIMBRA,Trouxemil e Torre de Vilela,Linha do Norte
Canicos,BRAGA,VILA NOVA DE FAMALICAO,Bairro,Linha de Guimaraes
Donas,CASTELO BRANCO,FUNDAO,"Fundao, Valverde, Donas, A. Joanes, A. Nova do Cabo",Linha da Beira Baixa
Lapa do Lobo,VISEU,NELAS,Lapa do Lobo,Linha da Beira Alta
Ameal,COIMBRA,COIMBRA,"Taveiro, Ameal e Arzila",Linha do Norte
Regua,VILA REAL,PESO DA REGUA,Peso da Regua e Godim,Linha do Douro
Valadares,PORTO,VILA NOVA DE GAIA,Gulpilhares e Valadares,Linha do Norte
Barracao-Sabugal,GUARDA,GUARDA,Panoias de Cima,Linha da Beira Baixa
Valado,LEIRIA,NAZARE,Valado dos Frades,Linha do Oeste
Soito,VISEU,MORTAGUA,Espinho,Linha da Beira Alta
Pinhao,VILA REAL,ALIJO,Pinhao,Linha do Douro
Campo-Serra,LEIRIA,CALDAS DA RAINHA,Tornada e Salir do Porto,Linha do Oeste
Pampilhosa,AVEIRO,MEALHADA,Pampilhosa,Linha do Norte
Evora,EVORA,EVORA,Malagueira e Horta das Figueiras,Linha de Evora
Bombarral,LEIRIA,BOMBARRAL,Bombarral e Vale Covo,Linha do Oeste
Arentim,BRAGA,BRAGA,Arentim e Cunha,Ramal de Braga
Parada,PORTO,PAREDES,Parada de Todeia,Linha do Douro
Luz,FARO,TAVIRA,Luz de Tavira e Santo Estevao,Linha do Algarve
Penteado,SETUBAL,MOITA,Moita,Linha do Alentejo
Portela de Sintra,LISBOA,SINTRA,"S. Maria, S. Miguel, S. Martinho e S. Pedro de Penaferrim",Linha de Sintra
Lavradio,SETUBAL,BARREIRO,Barreiro e Lavradio,Linha do Alentejo
Porto de Sines,SETUBAL,SINES,Sines,Linha de Sines
Feliteira,LISBOA,TORRES VEDRAS,Dois Portos e Runa,Linha do Oeste
Guimaraes,BRAGA,GUIMARAES,Urgezes,Linha de Guimaraes
Lapa,AVEIRO,SANTA MARIA DA FEIRA,Sao Paio de Oleiros,Linha do Vouga
Oia,AVEIRO,OLIVEIRA DO BAIRRO,Oia,Linha do Norte
Suzao,PORTO,VALONGO,Valongo,Linha do Douro
Virtudes,LISBOA,AZAMBUJA,Aveiras de Baixo,Linha do Norte
Nespereira,BRAGA,GUIMARAES,Nespereira,Linha de Guimaraes
Algoz,FARO,SILVES,Algoz e Tunes,Linha do Algarve
Areia - Darque,VIANA DO CASTELO,VIANA DO CASTELO,Darque,Linha do Minho
Lordelo,BRAGA,GUIMARAES,Lordelo,Linha de Guimaraes
Albergaria-a-Nova,AVEIRO,ALBERGARIA-A-VELHA,Branca,Linha do Vouga
Tortosendo,CASTELO BRANCO,COVILHA,Tortosendo,Linha da Beira Baixa
Casais,COIMBRA,COIMBRA,Sao Martinho do Bispo e Ribeira de Frades,Linha do Norte
Cela,LEIRIA,ALCOBACA,Cela,Linha do Oeste
Rodao,CASTELO BRANCO,VILA VELHA DE RODAO,Vila Velha de Rodao,Linha da Beira Baixa
Carrico,LEIRIA,POMBAL,Carrico,Linha do Oeste
Espadanal da Azambuja,LISBOA,AZAMBUJA,Vila Nova da Rainha,Linha do Norte
Couto de Cambeses,BRAGA,BARCELOS,Cambeses,Ramal de Braga
Parede,LISBOA,CASCAIS,Carcavelos e Parede,Linha de Cascais
Vesuvio,GUARDA,VILA NOVA DE FOZ COA,Numao,Linha do Douro
Fundao,CASTELO BRANCO,FUNDAO,"Fundao, Valverde, Donas, A. Joanes, A. Nova do Cabo",Linha da Beira Baixa
Sao Martinho do Porto,LEIRIA,ALCOBACA,Sao Martinho do Porto,Linha do Oeste
Quinta do Valongo - Vacarica,AVEIRO,MEALHADA,Vacarica,Linha da Beira Alta
Oleiros,PORTO,PENAFIEL,Guilhufe e Urro,Linha do Douro
Alhandra,LISBOA,VILA FRANCA DE XIRA,"Alhandra, Sao Joao dos Montes e Calhandriz",Linha do Norte
Areosa,VIANA DO CASTELO,VIANA DO CASTELO,Areosa,Linha do Minho
Vale de Figueira,SANTAREM,SANTAREM,Sao Vicente do Paul e Vale de Figueira,Linha do Norte
Juncal,PORTO,MARCO DE CANAVESES,Paredes de Viadores e Manhuncelos,Linha do Douro
Sao Martinho do Campo,PORTO,VALONGO,Campo e Sobrado,Linha do Douro
Paialvo,SANTAREM,TOMAR,Madalena e Beselga,Linha do Norte
Vilela - Fornos,COIMBRA,COIMBRA,Trouxemil e Torre de Vilela,Linha do Norte
Leandro,PORTO,MAIA,Sao Pedro Fins,Linha do Minho
Vila Nova da Cerveira,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,Vila Nova de Cerveira e Lovelhe,Linha do Minho
Vargelas,VISEU,SAO JOAO DA PESQUEIRA,Vale de Figueira,Linha do Douro
Noemi,GUARDA,ALMEIDA,Miuzela e Porto de Ovelha,Linha da Beira Alta
Alcaide,CASTELO BRANCO,FUNDAO,Alcaide,Linha da Beira Baixa
Pinhel,GUARDA,PINHEL,Alverca da Beira/Bouca Cova,Linha da Beira Alta
Soalheira,CASTELO BRANCO,FUNDAO,Castelo Novo,Linha da Beira Baixa
Regueira de Pontes,LEIRIA,LEIRIA,Regueira de Pontes,Linha do Oeste
Mouriscas-A,SANTAREM,ABRANTES,Mouriscas,Linha da Beira Baixa
Carcavelos,LISBOA,CASCAIS,Carcavelos e Parede,Linha de Cascais
Oeiras,LISBOA,OEIRAS,Oeiras e S. Juliao da Barra, Paco de Arcos e Caxias,Linha de Cascais
Leca do Balio,PORTO,MATOSINHOS,Custoias, Leca do Balio e Guifoes,Linha de Leixoes
Barrimau,BRAGA,VILA NOVA DE FAMALICAO,Vila Nova de Famalicao e Calendario,Linha do Minho
Portalegre,PORTALEGRE,PORTALEGRE,Urra,Linha do Leste
Sao Mamede,LEIRIA,BOMBARRAL,Rolica,Linha do Oeste
Telhada,COIMBRA,FIGUEIRA DA FOZ,Paiao,Linha do Oeste
Sao Mamede do Tua,VILA REAL,ALIJO,Castedo e Cotas,Linha do Douro
Mouriscas,SANTAREM,ABRANTES,Mouriscas,Linha da Beira Baixa
Ermesinde - A,PORTO,VALONGO,Ermesinde,Linha do Douro
Bicanho,COIMBRA,SOURE,Samuel,Linha do Oeste
Caldas da Rainha,LEIRIA,CALDAS DA RAINHA,"Nossa Senhora do Populo, Coto e Sao Gregorio",Linha do Oeste
Luso Bucaco,AVEIRO,MEALHADA,Luso,Linha da Beira Alta
Barquinha,SANTAREM,VILA NOVA DA BARQUINHA,Vila Nova da Barquinha,Linha da Beira Baixa
Lares,COIMBRA,FIGUEIRA DA FOZ,Vila Verde,Linha do Oeste
Ramalhal,LISBOA,TORRES VEDRAS,Ramalhal,Linha do Oeste
Carrascal-Delongo,SANTAREM,TOMAR,Paialvo,Ramal de Tomar
Gouveia,VISEU,MANGUALDE,Abrunhosa-a-Velha,Linha da Beira Alta
Zibreira,LISBOA,SOBRAL DE MONTE AGRACO,Sobral de Monte Agraco,Linha do Oeste
Santo Amaro,LISBOA,OEIRAS,"Oeiras e S. Juliao da Barra, Paco de Arcos e Caxias",Linha de Cascais
Barqueiros,VILA REAL,MESAO FRIO,Barqueiros,Linha do Douro
Cabeda,PORTO,VALONGO,Alfena,Linha do Douro
Fratel,CASTELO BRANCO,VILA VELHA DE RODAO,Fratel,Linha da Beira Baixa
Assumar,PORTALEGRE,MONFORTE,Assumar,Linha do Leste
Marvila,LISBOA,LISBOA,Marvila,Linha de Cintura
Sabugo,LISBOA,SINTRA,"Almargem do Bispo, Pero Pinheiro e Montelavar",Linha do Oeste
Aldeia,GUARDA,ALMEIDA,Castelo Bom,Linha da Beira Alta
Alcaria,CASTELO BRANCO,FUNDAO,Alcaria,Linha da Beira Baixa
Bouro,LEIRIA,CALDAS DA RAINHA,Tornada e Salir do Porto,Linha do Oeste
Cerdeira,GUARDA,SABUGAL,Cerdeira,Linha da Beira Alta
Alpedrinha,CASTELO BRANCO,FUNDAO,Alpedrinha,Linha da Beira Baixa
Dagorda - Peniche,LEIRIA,OBIDOS,"Santa Maria, Sao Pedro e Sobral da Lagoa",Linha do Oeste
Bifurcacao do Luso,AVEIRO,MEALHADA,Luso,Linha da Beira Alta
Cais do Sodre,LISBOA,LISBOA,Misericordia,Linha de Cascais
Bemposta,SANTAREM,ABRANTES,Sao Facundo e Vale de Mos,Linha do Leste
Monte Estoril,LISBOA,CASCAIS,Cascais e Estoril,Linha de Cascais
Fontela-A,COIMBRA,FIGUEIRA DA FOZ,Vila Verde,Linha do Oeste
Retaxo,CASTELO BRANCO,CASTELO BRANCO,Cebolais de Cima e Retaxo,Linha da Beira Baixa
Outeiro,LISBOA,TORRES VEDRAS,Campelos e Outeiro da Cabeca,Linha do Oeste
Torre das Vargens,PORTALEGRE,PONTE DE SOR,"Ponte de Sor, Tramaga e Vale de Acor",Linha do Leste
Fazenda,PORTALEGRE,PONTE DE SOR,"Ponte de Sor, Tramaga e Vale de Acor",Linha do Leste
Carvalhos de Figueiredo,SANTAREM,TOMAR,Madalena e Beselga,Ramal de Tomar
Guia,LEIRIA,POMBAL,"Guia, Ilha e Mata Mourisca",Linha do Oeste
Contencas,VISEU,MANGUALDE,Santiago de Cassurraes e Povoa de Cervaes,Linha da Beira Alta
Jerumelo,LISBOA,SOBRAL DE MONTE AGRACO,Sapataria,Linha do Oeste
Torre da Gadanha,EVORA,MONTEMOR-O-NOVO,Sao Cristovao,Linha do Alentejo
Bombel,EVORA,VENDAS NOVAS,Vendas Novas,Linha do Alentejo
Rio Meao,AVEIRO,SANTA MARIA DA FEIRA,Rio Meao,Linha do Vouga
Roma - Areeiro,LISBOA,LISBOA,Alvalade,Linha de Cintura
Entrecampos - Poente,LISBOA,LISBOA,Avenidas Novas,Linha de Cintura
Sete Rios,LISBOA,LISBOA,Sao Domingos de Benfica,Linha de Cintura
Boliqueime,FARO,LOULE,Boliqueime,Linha do Algarve
Santo Tirso,PORTO,SANTO TIRSO,"St. Tirso, Couto (S. Cristina e S. Miguel) e Burgaes",Linha de Guimaraes
Urgueiras,AVEIRO,ALBERGARIA-A-VELHA,Albergaria-a-Velha e Valmaior,Linha do Vouga
Chelas,LISBOA,LISBOA,Beato,Linha de Cintura
Alcantara-Mar,LISBOA,LISBOA,Estrela,Linha de Cascais
Penalva,SETUBAL,PALMELA,Quinta do Anjo,Linha do Sul
Alcantara-Terra,LISBOA,LISBOA,Estrela,Linha de Cintura
Ferragudo,FARO,LAGOA,Estombar e Parchal,Linha do Algarve
Cuba,BEJA,CUBA,Cuba,Linha do Alentejo
Mata,PORTALEGRE,ALTER DO CHAO,Chancelaria,Linha do Leste
Alvito,BEJA,ALVITO,Alvito,Linha do Alentejo
Vila Nova da Baronia,BEJA,ALVITO,Vila Nova da Baronia,Linha do Alentejo
Sao Joao das Craveiras,SETUBAL,MONTIJO,Pegoes,Linha do Alentejo
Moita,SETUBAL,MOITA,Moita,Linha do Alentejo
Agualva-Cacem,LISBOA,SINTRA,Agualva e Mira-Sintra,Linha de Sintra
Beja,BEJA,BEJA,Beja (Salvador e Santa Maria da Feira),Linha do Alentejo
Panoias,BEJA,OURIQUE,Panoias e Conceicao,Linha do Alentejo
Sintra,LISBOA,SINTRA,"S. Maria, S. Miguel, S. Martinho e S. Pedro de Penaferrim",Linha de Sintra
Alcacovas,EVORA,EVORA,N. S. da Tourega e N. S. de Guadalupe,Linha do Alentejo
Coimbroes,PORTO,VILA NOVA DE GAIA,Canidelo,Linha do Norte
Pataias,LEIRIA,ALCOBACA,Pataias e Martinganca,Linha do Oeste
Muxagata,GUARDA,FORNOS DE ALGODRES,Figueiro da Granja,Linha da Beira Alta
Almourol,SANTAREM,VILA NOVA DA BARQUINHA,Praia do Ribatejo,Linha da Beira Baixa
Verride,COIMBRA,MONTEMOR-O-VELHO,"Abrunheira, Verride e Vila Nova da Barca",Ramal de Alfarelos
Alhos Vedros,SETUBAL,MOITA,Alhos Vedros,Linha do Alentejo
Baixa da Banheira,SETUBAL,MOITA,Baixa da Banheira e Vale da Amoreira,Linha do Alentejo
Sernada do Vouga,AVEIRO,AGUEDA,Macinhata do Vouga,Linha do Vouga
Oliveira do Bairro,AVEIRO,OLIVEIRA DO BAIRRO,Oliveira do Bairro,Linha do Norte
Rio de Mouro,LISBOA,SINTRA,Rio de Mouro,Linha de Sintra
Barreiro-A,SETUBAL,BARREIRO,Barreiro e Lavradio,Linha do Alentejo
Barreiro,SETUBAL,BARREIRO,Barreiro e Lavradio,Linha do Alentejo
Massama-Barcarena,LISBOA,OEIRAS,Barcarena,Linha de Sintra
Monte Abraao,LISBOA,SINTRA,Queluz e Belas,Linha de Sintra
Lavre,SANTAREM,CORUCHE,Santana do Mato,Linha de Vendas Novas
Sao Torcato,SANTAREM,CORUCHE,"Coruche, Fajarda e Erra",Linha de Vendas Novas
Salgueirinha,SANTAREM,CORUCHE,"Coruche, Fajarda e Erra",Linha de Vendas Novas
Quintans,AVEIRO,AVEIRO,Oliveirinha,Linha do Norte
Lousal,SETUBAL,GRANDOLA,Azinheira dos Barros e Sao Mamede do Sadao,Linha do Sul
Porto Sao Bento,PORTO,PORTO,"Cedofeita, Ildefonso, Se, Miragaia, Nicolau, Vitoria",Linha do Minho
Algueirao-Mem Martins,LISBOA,SINTRA,Algueirao-Mem Martins,Linha de Sintra
Lisboa Santa Apolonia,LISBOA,LISBOA,Sao Vicente,Linha do Norte
Morgado,SANTAREM,CARTAXO,Valada,Linha de Vendas Novas
Chanca,PORTALEGRE,ALTER DO CHAO,Chancelaria,Linha do Leste
Bifurcacao de Lares,COIMBRA,MONTEMOR-O-VELHO,"Abrunheira, Verride e Vila Nova da Barca",Linha do Oeste
Montemor,COIMBRA,SOURE,Alfarelos,Ramal de Alfarelos
Cruz Quebrada,LISBOA,OEIRAS,"Alges, Linda-a-Velha e Cruz Quebrada-Dafundo",Linha de Cascais
Santa Eulalia-A,PORTALEGRE,ELVAS,Santa Eulalia,Linha do Leste
Belem,LISBOA,LISBOA,Belem,Linha de Cascais
Ponte de Sor,PORTALEGRE,PONTE DE SOR,"Ponte de Sor, Tramaga e Vale de Acor",Linha do Leste
Coina,SETUBAL,SEIXAL,"Seixal, Arrentela e Aldeia de Paio Pires",Linha do Sul
Arrifana,AVEIRO,SANTA MARIA DA FEIRA,Arrifana,Linha do Vouga
